tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.9305555555555556
11,1,0.21,0.9305555555555556
16,1,0.21,0.9305555555555556
21,1,0.21,0.9305555555555556
26,1,0.21,0.9305555555555556
31,1,0.21,0.9305555555555556
36,1,0.21,0.9305555555555556
41,1,0.21,0.9305555555555556
46,1,0.21,0.9305555555555556
51,1,0.21,0.9305555555555556
56,1,0.21,0.9305555555555556
61,1,0.21,0.9305555555555556
66,1,0.21,0.9305555555555556
71,1,0.21,0.9305555555555556
76,1,0.21,0.9305555555555556
81,1,0.21,0.9305555555555556
86,1,0.21,0.9305555555555556
91,1,0.21,0.9305555555555556
96,1,0.21,0.9305555555555556
101,1,0.21,0.9305555555555556
106,1,0.21,0.9305555555555556
111,1,0.21,0.9305555555555556
116,1,0.21,0.9305555555555556
121,1,0.21,0.9305555555555556
126,1,0.21,0.9305555555555556
131,1,0.21,0.9305555555555556
136,1,0.21,0.9305555555555556
141,1,0.21,0.9305555555555556
146,1,0.21,0.9305555555555556
151,1,0.21,0.9305555555555556
156,1,0.21,0.9305555555555556
161,1,0.21,0.9305555555555556
166,1,0.21,0.9305555555555556
171,1,0.21,0.9305555555555556
176,1,0.21,0.9305555555555556
181,1,0.21,0.9305555555555556
186,1,0.21,0.9305555555555556
191,1,0.21,0.9305555555555556
196,1,0.21,0.9305555555555556
201,1,0.21,0.9305555555555556
206,1,0.21,0.9305555555555556
211,1,0.21,0.9305555555555556
216,1,0.21,0.9305555555555556
221,1,0.21,0.9305555555555556
226,1,0.21,0.9305555555555556
231,1,0.21,0.9305555555555556
236,1,0.21,0.9305555555555556
241,1,0.21,0.9305555555555556
246,1,0.21,0.9305555555555556
251,1,0.21,0.9305555555555556
256,1,0.21,0.9305555555555556
261,1,0.21,0.9305555555555556
266,1,0.21,0.9305555555555556
271,1,0.21,0.9305555555555556
276,1,0.21,0.9305555555555556
281,1,0.21,0.9305555555555556
286,1,0.21,0.9305555555555556
291,1,0.21,0.9305555555555556
296,1,0.21,0.9305555555555556
301,1,0.21,0.9305555555555556
