tick,n_assemblies,mean_energy_global,reward
6,0,0.0,0.43999999999999995
11,0,0.0,0.43999999999999995
16,0,0.0,0.43999999999999995
21,0,0.0,0.43999999999999995
26,0,0.0,0.43999999999999995
31,0,0.0,0.43999999999999995
36,0,0.0,0.43999999999999995
41,0,0.0,0.43999999999999995
46,0,0.0,0.43999999999999995
51,0,0.0,0.43999999999999995
56,0,0.0,0.43999999999999995
61,0,0.0,0.43999999999999995
66,0,0.0,0.43999999999999995
71,0,0.0,0.43999999999999995
76,0,0.0,0.43999999999999995
81,0,0.0,0.43999999999999995
86,0,0.0,0.43999999999999995
91,0,0.0,0.43999999999999995
96,0,0.0,0.43999999999999995
101,0,0.0,0.43999999999999995
106,0,0.0,0.43999999999999995
111,0,0.0,0.43999999999999995
116,0,0.0,0.43999999999999995
121,0,0.0,0.43999999999999995
126,0,0.0,0.43999999999999995
131,0,0.0,0.43999999999999995
136,0,0.0,0.43999999999999995
141,0,0.0,0.43999999999999995
146,0,0.0,0.43999999999999995
151,0,0.0,0.43999999999999995
156,0,0.0,0.43999999999999995
161,0,0.0,0.43999999999999995
166,0,0.0,0.43999999999999995
171,0,0.0,0.43999999999999995
176,0,0.0,0.43999999999999995
181,0,0.0,0.43999999999999995
186,0,0.0,0.43999999999999995
191,0,0.0,0.43999999999999995
196,0,0.0,0.43999999999999995
201,0,0.0,0.43999999999999995
206,0,0.0,0.43999999999999995
211,0,0.0,0.43999999999999995
216,0,0.0,0.43999999999999995
221,0,0.0,0.43999999999999995
226,0,0.0,0.43999999999999995
231,0,0.0,0.43999999999999995
236,0,0.0,0.43999999999999995
241,0,0.0,0.43999999999999995
246,0,0.0,0.43999999999999995
251,0,0.0,0.43999999999999995
256,0,0.0,0.43999999999999995
261,0,0.0,0.43999999999999995
266,0,0.0,0.43999999999999995
271,0,0.0,0.43999999999999995
276,0,0.0,0.43999999999999995
281,0,0.0,0.43999999999999995
286,0,0.0,0.43999999999999995
291,0,0.0,0.43999999999999995
296,0,0.0,0.43999999999999995
301,0,0.0,0.43999999999999995
