tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.8775510204081632
11,1,0.21,0.8775510204081632
16,1,0.21,0.8775510204081632
21,1,0.21,0.8775510204081632
26,1,0.21,0.8775510204081632
31,1,0.21,0.8775510204081632
36,1,0.21,0.8775510204081632
41,1,0.21,0.8775510204081632
46,1,0.21,0.8775510204081632
51,1,0.21,0.8775510204081632
56,1,0.21,0.8775510204081632
61,1,0.21,0.8775510204081632
66,1,0.21,0.8775510204081632
71,1,0.21,0.8775510204081632
76,1,0.21,0.8775510204081632
81,1,0.21,0.8775510204081632
86,1,0.21,0.8775510204081632
91,1,0.21,0.8775510204081632
96,1,0.21,0.8775510204081632
101,1,0.21,0.8775510204081632
106,1,0.21,0.8775510204081632
111,1,0.21,0.8775510204081632
116,1,0.21,0.8775510204081632
121,1,0.21,0.8775510204081632
126,1,0.21,0.8775510204081632
131,1,0.21,0.8775510204081632
136,1,0.21,0.8775510204081632
141,1,0.21,0.8775510204081632
146,1,0.21,0.8775510204081632
151,1,0.21,0.8775510204081632
156,1,0.21,0.8775510204081632
161,1,0.21,0.8775510204081632
166,1,0.21,0.8775510204081632
171,1,0.21,0.8775510204081632
176,1,0.21,0.8775510204081632
181,1,0.21,0.8775510204081632
186,1,0.21,0.8775510204081632
191,1,0.21,0.8775510204081632
196,1,0.21,0.8775510204081632
201,1,0.21,0.8775510204081632
206,1,0.21,0.8775510204081632
211,1,0.21,0.8775510204081632
216,1,0.21,0.8775510204081632
221,1,0.21,0.8775510204081632
226,1,0.21,0.8775510204081632
231,1,0.21,0.8775510204081632
236,1,0.21,0.8775510204081632
241,1,0.21,0.8775510204081632
246,1,0.21,0.8775510204081632
251,1,0.21,0.8775510204081632
256,1,0.21,0.8775510204081632
261,1,0.21,0.8775510204081632
266,1,0.21,0.8775510204081632
271,1,0.21,0.8775510204081632
276,1,0.21,0.8775510204081632
281,1,0.21,0.8775510204081632
286,1,0.21,0.8775510204081632
291,1,0.21,0.8775510204081632
296,1,0.21,0.8775510204081632
301,1,0.21,0.8775510204081632
